t_s,height_cm,roll_deg,pitch_deg,yaw_deg,batt_%,accel_x,temp_c,speed_cm_s,vz_cm_s
0.01,0.0,0,0,0,58,0,0,0.0,0.0
0.23,0.0,0,0,0,58,-4,40.93,3400.0,0.0
0.44,0.0,0,0,0,58,-4,40.93,3400.0,0.0
0.65,0.0,0,0,0,55,0,40.84,63600.0,0.0
0.87,3.4,0,0,0,54,10,40.79,4925.4441424099,15.791912153916686
1.08,3.4,0,0,0,53,-11,40.79,4925.4441424099,0.0
1.3,4.4,0,21,0,53,2,40.79,4925.4441424099,4.682485936256272
1.51,4.4,0,7,0,52,-7,40.58,34033.07215048327,0.0
1.72,4.4,0,4,0,51,-7,40.58,30404.111564063172,0.0
1.94,4.4,1,3,0,51,-10,40.5,24503.265088555036,0.0
2.15,4.4,1,-7,0,51,-16,40.46,71805.64044697325,0.0
2.36,4.4,0,-21,0,52,-27,40.41,25068.306683938587,0.0
2.58,4.4,0,-21,0,52,-27,40.41,25068.306683938587,0.0
2.79,55.9,0,-21,0,51,1,40.36,21503.720608304044,240.62151513362437
3.01,58.6,0,-3,0,51,1,40.36,21503.720608304044,12.614405966897367
3.21,58.6,0,-3,0,51,1,40.36,22641.99637841151,0.0
3.43,58.6,0,-3,0,51,1,40.36,23879.907872519107,0.0
3.64,58.6,0,-3,0,51,1,40.36,23879.907872519107,0.0
3.86,999.9,0,-3,0,51,1,40.36,22800.877176108817,4379.015361886434
4.07,999.9,0,-3,0,53,1,40.36,6184.658438426491,0.0
4.28,999.9,0,-3,30,53,0,40.36,8215.229759416348,0.0
4.5,999.9,0,1,33,51,-3,40.36,8215.229759416348,0.0
4.72,999.9,0,3,34,50,-2,40.12,7616.429609731846,0.0
4.93,999.9,2,21,34,50,-2,40.12,20400.0,0.0
5.15,999.9,2,15,33,50,-13,40.12,20400.0,0.0
5.36,999.9,1,15,33,50,-13,40.12,21302.112571292077,0.0
5.58,999.9,1,15,33,46,-13,40.12,22302.01784592596,0.0
5.79,999.9,1,15,45,46,-12,40.12,22302.01784592596,0.0
6.01,999.9,-14,-1,74,46,-21,40.05,59169.24876994806,0.0
6.22,999.9,-17,0,81,46,-21,40.05,59169.24876994806,0.0
6.44,999.9,-17,0,81,46,-21,40.05,59169.24876994806,0.0
6.65,999.9,-17,0,81,46,-21,40.05,35709.94259306503,0.0
6.87,999.9,-17,0,81,46,-21,40.04,35709.94259306503,0.0
7.09,999.9,-17,0,81,46,-21,40.04,35709.94259306503,0.0
7.3,999.9,-17,0,81,43,-21,40.04,35709.94259306503,0.0
7.51,999.9,-17,0,81,43,-21,40.04,35709.94259306503,0.0
7.73,999.9,-17,0,-129,43,-8,40.02,29233.542378576018,0.0
7.95,999.9,-2,7,-129,43,-8,40.0,65600.07621946791,0.0
8.16,999.9,-2,7,-94,42,-11,39.97,18874.321179846444,0.0
8.38,999.9,8,-1,-90,41,-11,39.97,19292.485583770693,0.0
8.59,999.9,8,-1,-90,41,-11,39.96,17836.199146679206,0.0
8.8,75.6,8,-1,-90,41,-11,39.96,26249.761903682098,-4347.586650398334
9.02,69.3,-8,8,9,41,-13,39.96,27713.71501621535,-29.53583339108428
9.23,69.3,-7,21,10,41,7,39.96,43488.50422812907,0.0
9.45,69.3,-2,17,10,41,-7,39.96,43488.50422812907,0.0
9.67,69.3,0,16,16,39,-13,39.96,43488.50422812907,0.0
