t_s,height_cm,roll_deg,pitch_deg,yaw_deg,batt_%,accel_x,temp_c,speed_cm_s,vz_cm_s
0.01,-100.0,0,0,-24,100,0,0,0.0,-7837.623096328132
0.23,-100.0,0,0,-24,100,0,0,13300.0,0.0
0.44,-100.0,0,0,-24,100,0,0,13300.0,0.0
0.66,-100.0,0,0,-24,100,0,0,13300.0,0.0
0.87,-100.0,0,0,-24,100,0,38.93,13300.0,0.0
1.09,-100.0,0,0,-24,100,0,38.93,13300.0,0.0
1.3,-100.0,0,0,-24,100,0,38.93,13300.0,0.0
1.52,-100.0,0,0,-24,100,0,38.94,13300.0,0.0
1.73,-100.0,0,0,-24,100,0,38.94,13300.0,0.0
1.95,-100.0,0,0,-24,100,0,38.94,13300.0,0.0
2.16,-100.0,0,0,-25,100,0,38.94,13300.0,0.0
2.38,-100.0,0,0,-25,100,0,38.95,13300.0,0.0
2.59,-100.0,0,0,-25,100,0,38.95,13300.0,0.0
